X,Y,Name
69.9939291,29.928809226168,Damas Lake
70.0131477,29.957408626168,FORT MUNRO STEEL BRIDGE
70.3648974,30.552308026168,Punjab Top 7590ft
70.4448844,30.706196326168,Gulki Hill Station.
70.4891238,29.961073326168,D.G. Khan International Airport
70.6265126,30.041541426168,D.G. Khan Zoo
70.623213,30.051148326168,Dera Ghazi Khan
70.6307585,30.031221526168,Jinnah Family Park
70.641246,30.057518726168,Kashmir Park Food Point
70.6444455,30.062518826168,Khosa Park
73.0782314,33.710760426168,Tourist Information center
69.9917425,29.927988526168,TDCP Resorts
72.3408569,31.259640426168,Jamia Mahmoodia
70.642748,30.062686426168,Tomb of Ghazi Khan
70.6479927,30.700947126168,Hazrat Shah Sulaiman Taunsavee
70.8496492,30.512896226168,Taunsa Barrage
70.6844161,30.596412626168,Super koh-e-Suleman agro gypsum
70.6619466,30.708943226168,Public Park Taunsa
68.938121,26.041305026168,Children And Family Park
73.1834698,31.565246126168,Jinnah Park
73.2907793,31.671843526168,mujahid building material store
73.0857945,31.433839726168,Iqbal Cricket Stadium
73.088561,31.423936426168,(The Chenab Club (G دی چناب کلب (جی)
73.0952186,31.449936526168,Jinnah Park
73.0967492,31.417340826168,Faisalabad
73.0803713,31.419415426168,Clock Tower
73.1154132,31.417564626168,Hockey Stadium Faisalabad
73.0842066,31.419032026168,Qaiseri Gate
73.0999602,31.389308926168,Muslim Park
73.211108,31.473352726168,Forest Park
73.0836494,31.421823926168,Lyallpur Museum Faisalabad
73.1349605,31.450366226168,Faisalabad
73.0842066,31.419032026168,Qaiseri Gate
73.0859985,31.431652026168,Faisalabad Arts Council
73.0861552,31.431508526168,Nusrat Fateh Ali Khan Auditorium
73.0839157,31.433067326168,Lyallpur Golf & Country Club
73.0486446,31.346458826168,Hari Singh
73.047234,31.347739226168,Lal haveli 233 FSD
73.2108012,31.473404026168,Gutwala Park Faisalabad
73.1173849,31.390619226168,Rachna Mini Zoo
73.2627965,31.505108026168,Fatima Jinnah Lady Park
73.4014171,31.322896526168,Jaranawala Zoo
72.942597,31.048521226168,Shehbaz Sharif Park Entrance
72.9646861,31.061995026168,Liaquat Ali Khan Park
72.9647219,31.063834226168,Fatima Jinnah Park (Lady Park)
73.4170082,30.311603126168,Chan Pir Shrine
74.2491119,32.047627426168,Gurdwara Rori Sahib
74.1785217,32.189818526168,Gulshan-e-Iqbal Park
74.1887119,32.156529226168,Samadhi Of Raja Mahan Singh Sukerchakia
74.1994517,32.173421326168,St. Paul's Presbyterian Church
74.1903811,32.158413226168,Gurudwara Damdama Baba Sahib Singh Ji Bedi
74.1891141,32.158307426168,Sialkoti Gate
74.3113997,31.589371326168,Samadhi of Maharaja Ranjit Singh
74.1944529,32.187691926168,Gujranwala
74.1889494,32.155528826168,Sheranwala Bagh
74.1850516,32.157520026168,Haveli of Hari Singh Nalwa
74.1631735,32.191678426168,Babo jee Ghulam Nabi Sarkar
74.1901428,32.149237426168,Memorial Tomb of Jain Monk Atma Ramji
74.5108974,32.033524926168,Maqbra in Kotly
74.1875943,32.176583926168,Gujranwala Railway Station
74.1128929,32.246270926168,Nishan-e-Manzil
74.22423,31.984620026168,Lady Park
